Date,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose,Volume,Open,High,Low,Close,Median,ao,ac,jaw,teeth,lips,bjaw,bteeth,blips,tjaw,tteeth,tlips,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,mfi,fdbb,fdbs,fdb,aoaz,aobz,zlc,zlcb,zlcs,zcol,zone_sig,sz,bz,acs,acb,ss,sb,price_peak_above,price_peak_bellow,ao_peak_above,ao_peak_bellow,mfi_sq,mfi_green,mfi_fade,mfi_fake,mfi_sig,mfi_str,bar_height
2023-08-28 21:00:00,1.35987,1.36374,1.35494,1.35515,1.36003,1.36375,1.355,1.3553,196098,1.35995,1.363745,1.35497,1.355225,1.3593575,0.66440574814,-0.06958868526,1.33945406484,1.34783511868,1.35398439919,1.3442378763,1.33826731011,1.33034788681,1.28442819241,1.31109368698,1.33542913453,1.363745,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00447480341,,1.35497,-1,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,0,1,0,0,4,++,0.008774999999999977
2023-08-29 21:00:00,1.35515,1.35769,1.3513,1.35316,1.3553,1.35775,1.35134,1.35328,205003,1.355225,1.35772,1.35132,1.35322,1.35452,0.62077115155,-0.17535905331,1.34053105985,1.34872572884,1.35503651935,1.34392028781,1.33785722265,1.33057316955,1.28457343594,1.31139451879,1.33553983499,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00312190553,,,0,1,0,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,1,0,0,0,1,+-,0.006399999999999961
2023-08-30 21:00:00,1.35316,1.35578,1.3504,1.35078,1.35328,1.35584,1.35045,1.35089,183206,1.35322,1.35581,1.350425,1.350835,1.3531175,0.5331433779,-0.37613655891,1.34156117063,1.35019032524,1.35585221548,1.3436004812,1.33751409133,1.3307849881,1.28473309526,1.31169401657,1.33560488822,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00293931421,,,0,1,0,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,0,0,1,0,3,--,0.005384999999999973
2023-08-31 21:00:00,1.35078,1.36126,1.34891,1.35878,1.35089,1.36129,1.34896,1.35968,176730,1.350835,1.361275,1.348935,1.35923,1.355105,0.46903785608,-0.44756858407,1.3426891575,1.35132215958,1.35655327238,1.34337238591,1.33722924421,1.33115116492,1.2849134584,1.31196460019,1.33569563552,1.361275,1.3459906333333334,0,1,0,1,,1.3459906333333334,0,1,0,0,0,0,0,0,0,0,0.00698240253,,,0,1,0,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,0,0,0,1,2,-+,0.012340000000000018
2023-09-02 21:00:00,1.35878,1.35878,1.35777,1.35799,1.35968,1.35974,1.35851,1.35892,27,1.35923,1.35926,1.35814,1.358455,1.3587,0.42461772296,-0.4196395296,1.34363306847,1.35229626464,1.35614661791,1.34317991528,1.33689725795,1.33149738065,1.28508817734,1.31221408688,1.33578517972,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,4.14814814815,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,0,0,0,1,2,-+,0.0011200000000000099
2023-09-03 21:00:00,1.35799,1.36047,1.35753,1.35899,1.35892,1.36063,1.35758,1.35925,88821,1.358455,1.36055,1.357555,1.35912,1.3590525,0.37941257527,-0.37761948793,1.34492610166,1.35317891906,1.35554079433,1.34297087129,1.33655044417,1.33178076652,1.2852425721,1.3124781144,1.33588137639,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00337195033,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,-0.37761948793,,,,,,,1,0,0,0,1,+-,0.002994999999999859
2023-09-04 21:00:00,1.35899,1.36694,1.35863,1.36408,1.35925,1.367,1.35898,1.3642,198121,1.35912,1.36697,1.358805,1.36414,1.3628875,0.39433411556,-0.16309578449,1.34602755538,1.35334655417,1.35545363546,1.34275867049,1.33625466337,1.33213772927,1.28540665679,1.31274691005,1.3359809328,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00412121885,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,0.68384529785,,,,,0,1,0,0,4,++,0.008164999999999978
2023-09-05 21:00:00,1.36408,1.36764,1.36222,1.36345,1.3642,1.36773,1.36225,1.36388,177182,1.36414,1.367685,1.362235,1.363665,1.36496,0.43155341022,0.04190883129,1.34703428189,1.3533179224,1.35610290837,1.3425612697,1.33596066949,1.3324806637,1.28557054497,1.31300364005,1.33608988466,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00307593322,,1.362235,-1,1,0,0.0,0.0,0.0,green,1.0,0.0,1.0,,,,,,,,,0,0,1,0,3,--,0.005449999999999955
2023-09-06 21:00:00,1.36345,1.36944,1.36309,1.36842,1.36388,1.36949,1.36324,1.36855,163980,1.363665,1.369465,1.363165,1.368485,1.366315,0.46562951488,0.16575032787,1.34798222174,1.3535413071,1.35669282669,1.34234156442,1.33572011186,1.33287027653,1.28573326235,1.31325597421,1.33622150004,1.369465,,1,0,1,0,1.369465,,1,0,0,0,0,0,0,0,0,0,0.00384193194,,,0,1,0,0.0,0.0,0.0,green,1.0,0.0,1.0,,,,,1.369465,,,,0,0,0,1,2,-+,0.006299999999999972
2023-09-07 21:00:00,1.36842,1.36896,1.36079,1.36396,1.36855,1.36903,1.36083,1.36414,158509,1.368485,1.368995,1.36081,1.36405,1.3649025,0.46346028578,0.13034228248,1.34848512776,1.35418614371,1.35793176136,1.34215393448,1.33544606438,1.3332877684,1.28590245794,1.31349924256,1.33639749657,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00516374465,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,0,0,0,1,2,-+,0.008184999999999887
