Date,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose,Volume,Open,High,Low,Close,Median,ao,ac,jaw,teeth,lips,bjaw,bteeth,blips,tjaw,tteeth,tlips,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,mfi,fdbb,fdbs,fdb,aoaz,aobz,zlc,zlcb,zlcs,zcol,zone_sig,sz,bz,acs,acb,ss,sb,price_peak_above,price_peak_bellow,ao_peak_above,ao_peak_bellow,mfi_sq,mfi_green,mfi_fade,mfi_fake,mfi_sig,mfi_str,bar_height
2024-08-19 20:15:00,1.36341,1.36348,1.36336,1.36346,1.36343,1.36352,1.36339,1.3635,559,1.36342,1.3635,1.363375,1.36348,1.3634375,-0.50029437817,0.28637618461,1.3653626432,1.3644695419,1.36402828228,1.36975326466,1.36852265784,1.3673294862,1.37246584789,1.37225371157,1.37141084845,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.02236135957,,,0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,0,0,1,0,3,--,0.00012499999999993072
2024-08-19 20:30:00,1.36346,1.36352,1.36328,1.36352,1.3635,1.36355,1.36331,1.36355,706,1.36348,1.363535,1.363295,1.363535,1.363415,-0.48334774284,0.20720964312,1.36520897834,1.36438303666,1.36396762582,1.36972173921,1.36850365497,1.36723170719,1.37245963874,1.37225594886,1.3713877002,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.03399433428,1.363535,,1,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,0.20720964312,,,,,,,,0,1,0,0,4,++,0.00024000000000001798
2024-08-19 20:45:00,1.36352,1.36356,1.36317,1.36333,1.36355,1.3636,1.36329,1.36348,629,1.363535,1.36358,1.36323,1.363405,1.363405,-0.48073281601,0.10723000557,1.36508694155,1.36433046958,1.36389210066,1.36968986574,1.36848436125,1.36713923051,1.37245688771,1.37225804779,1.37136540714,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.05564387917,,,0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,0.10723000557,,,,,,,,0,0,0,1,2,-+,0.0003500000000000725
2024-08-19 21:00:00,1.36333,1.36352,1.36286,1.36352,1.36348,1.36393,1.36348,1.3636,235,1.363405,1.363725,1.36317,1.36356,1.3634475,-0.45608991529,0.1079276699,1.36497621527,1.36425478588,1.36380118053,1.36965936163,1.36846932741,1.3670786649,1.37245653787,1.37226069565,1.37134387654,,1.36294205,1,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0.23617021277,1.363725,,1,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,0,0,0,1,2,-+,0.0005550000000000832
2024-08-19 21:15:00,1.36352,1.36355,1.36303,1.36326,1.3636,1.36366,1.36334,1.3635,156,1.36356,1.363605,1.363185,1.36338,1.363395,-0.42698095294,0.13376127863,1.36488400641,1.36417168765,1.36372394442,1.36963035195,1.36845106691,1.36703216005,1.37245854971,1.37226453387,1.37132246073,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.26923076923,,,0,0,1,0.0,0.0,0.0,green,1.0,0.0,1.0,,,,,,,,,0,0,0,1,2,-+,0.0004199999999998649
2024-08-19 21:30:00,1.36326,1.3634,1.36326,1.36338,1.3635,1.36376,1.36349,1.3637,76,1.36338,1.36358,1.363375,1.36354,1.3634775,-0.3823256406,0.20003605155,1.3648131213,1.36407991419,1.36366015554,1.36960208957,1.36843222933,1.36698275829,1.37245945541,1.37226961097,1.37129947489,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.26973684211,,,0,0,1,0.0,0.0,0.0,green,1.0,0.0,1.0,,,,,,,,,0,0,0,1,2,-+,0.00020500000000001073
2024-08-19 21:45:00,1.36338,1.36352,1.36335,1.36346,1.3637,1.3638,1.36355,1.36378,132,1.36354,1.36366,1.36345,1.36362,1.363555,-0.33419613542,0.2576183943,1.36472941966,1.36399679992,1.36361762443,1.36957372339,1.36840873425,1.36693319187,1.37245877383,1.37227373282,1.37127711743,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.15909090909,,,0,0,1,0.0,0.0,0.0,green,1.0,0.0,1.0,,,,,,,,,1,0,0,0,1,+-,0.00021000000000004349
2024-08-19 22:00:00,1.36346,1.36348,1.36296,1.36301,1.36378,1.36378,1.36303,1.36311,270,1.36362,1.36363,1.362995,1.36306,1.3633125,-0.30305039436,0.24380197015,1.36464177199,1.36392282493,1.36357309954,1.3695410692,1.36838089363,1.36688280387,1.37245592563,1.37227709662,1.37125449856,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.23518518519,,,0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,0,1,0,0,4,++,0.0006349999999999412
2024-08-19 22:15:00,1.36301,1.36312,1.36296,1.36308,1.36311,1.36319,1.36303,1.36314,307,1.36306,1.363155,1.362995,1.36311,1.363075,-0.29242095548,0.17424583822,1.36454913569,1.36386340931,1.36355397964,1.36951243359,1.36834869556,1.36682661846,1.37245340991,1.37228092883,1.37123038745,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.05211726384,,,0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,0.17424583822,,,,,,,,1,0,0,0,1,+-,0.00015999999999993797
2024-08-19 22:30:00,1.36308,1.36319,1.36305,1.36318,1.36314,1.36325,1.36309,1.36325,282,1.36311,1.36322,1.36307,1.363215,1.363145,-0.28324484308,0.11266110538,1.36446189448,1.36380485815,1.36355418371,1.36948810849,1.36830071928,1.36677451204,1.37244985975,1.37228542055,1.37120385699,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.05319148936,,,0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,0.11266110538,,,,,,,,0,0,0,1,2,-+,0.0001500000000000945
2024-08-19 22:45:00,1.36318,1.36336,1.36317,1.36332,1.36325,1.36339,1.3632,1.36335,408,1.363215,1.363375,1.363185,1.363335,1.36328,-0.2767791315,0.06658187875,1.3643805949,1.36376393838,1.36350584697,1.36946737132,1.36824493347,1.3667168058,1.3724455763,1.37228885222,1.37117580937,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.04656862745,,,0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,0.06658187875,,,,,,,,1,0,0,0,1,+-,0.00018999999999991246
2024-08-19 23:00:00,1.36332,1.36341,1.36325,1.36329,1.36335,1.36343,1.36327,1.36333,1124,1.363335,1.36342,1.36326,1.36331,1.36334,-0.28141492471,0.0187768509,1.36430881837,1.36373782108,1.36341967757,1.3694497604,1.36817438923,1.36664285563,1.37244061456,1.37229046659,1.3711475225,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.01423487544,,,0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,-0.56563042014,,,,,,1,0,0,0,1,+-,0.00016000000000016001
2024-08-19 23:15:00,1.36329,1.36343,1.36324,1.36334,1.36333,1.36348,1.36327,1.36338,647,1.36331,1.363455,1.363255,1.36336,1.363355,-0.27026037882,0.03324086777,1.36423852465,1.36368465595,1.36336474206,1.36943282489,1.3681006276,1.366576154,1.3724337628,1.37229045386,1.37111960567,,,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.03091190108,,,0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,0,0,0,1,2,-+,0.00019999999999997797
2024-08-19 23:30:00,1.36334,1.36334,1.36308,1.36316,1.36338,1.36338,1.36312,1.3632,702,1.36336,1.36336,1.3631,1.36318,1.36323,-0.24778155548,0.07588184437,1.36417998429,1.36360844895,1.36334779365,1.36941745607,1.36803143438,1.366500973,1.37242714141,1.37228828453,1.37109103202,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.03703703704,,,0,0,1,0.0,0.0,0.0,green,1.0,0.0,1.0,,,,,,,,,0,1,0,0,4,++,0.00025999999999992696
2024-08-19 23:45:00,1.36316,1.36328,1.3631,1.36318,1.3632,1.36331,1.36314,1.36321,583,1.36318,1.363295,1.36312,1.363195,1.3632075,-0.23481300356,0.08620994689,1.36413190858,1.36355051783,1.36334623492,1.36940276556,1.36795822648,1.3664087385,1.37242120072,1.37228466528,1.37106066027,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.03001715266,,,0,0,1,0.0,0.0,0.0,green,1.0,0.0,1.0,,,,,,,,,0,0,1,0,3,--,0.0001749999999998142
2024-08-20 00:00:00,1.36318,1.3634,1.36295,1.36337,1.36321,1.36342,1.363,1.36342,2208,1.363195,1.36341,1.362975,1.363395,1.3631925,-0.23163053683,0.06781030207,1.36406887715,1.3635167031,1.36334798793,1.36939009403,1.36788784963,1.3663267903,1.37241558082,1.37228190921,1.3710296661,,1.36274705,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0.01970108696,,,0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,1,0,0,0,1,+-,0.0004349999999999632
2024-08-20 00:15:00,1.36337,1.36374,1.36336,1.36363,1.36342,1.36377,1.36342,1.36368,1719,1.363395,1.363755,1.36339,1.363655,1.3635725,-0.19886704184,0.11895677485,1.36399242506,1.36349461522,1.36332439035,1.36937767725,1.36783679782,1.36624798765,1.3724092066,1.37228074221,1.37099836634,1.363755,,1,0,1,0,1.363755,,0,0,0,0,0,0,0,0,0,0,0.02123327516,,,0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,0,0,0,1,2,-+,0.0003649999999999487
2024-08-20 00:30:00,1.36363,1.36369,1.36344,1.36354,1.36368,1.36373,1.36346,1.36358,1558,1.363655,1.36371,1.36345,1.36356,1.36358,-0.16229519501,0.16609084324,1.36392723852,1.36347716331,1.36330101228,1.36936509098,1.36779426513,1.36617532625,1.37240352568,1.37228047079,1.37096777005,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.01668806162,,,0,0,1,0.0,0.0,0.0,green,1.0,0.0,1.0,,,,,,,,,0,0,1,0,3,--,0.00025999999999992696
2024-08-20 00:45:00,1.36354,1.36367,1.36344,1.36361,1.36358,1.3637,1.36346,1.36366,2021,1.36356,1.363685,1.36345,1.363635,1.3635675,-0.11901364748,0.22124638233,1.36387745094,1.3634462679,1.36327930982,1.36935242142,1.3677498694,1.36611024312,1.37239882137,1.3722793207,1.37093738623,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.01162790698,,,0,0,1,0.0,0.0,0.0,green,1.0,0.0,1.0,,,,,,,,,1,0,0,0,1,+-,0.00023499999999998522
2024-08-20 01:00:00,1.36361,1.36362,1.36286,1.36291,1.36366,1.36366,1.36289,1.36293,2018,1.363635,1.36364,1.362875,1.36292,1.3632575,-0.09376607809,0.21192638807,1.36383610856,1.36341642191,1.36333794786,1.36934056837,1.36770528087,1.36604008891,1.37239533644,1.37227472061,1.37090730021,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.03790882061,,,0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,0,0,0,1,2,-+,0.0007649999999999046
2024-08-20 01:15:00,1.36291,1.36317,1.36281,1.36311,1.36293,1.36319,1.36284,1.36313,2115,1.36292,1.36318,1.362825,1.36312,1.3630025,-0.08394816823,0.14987765838,1.36379910021,1.36338843167,1.36338635829,1.36932792154,1.36766009394,1.36596802747,1.37239211273,1.37226960378,1.37087705854,,1.36259705,0,1,0,1,,1.36259705,0,1,0,0,0,0,0,0,0,0,0.01678486998,1.36318,,1,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,0.14987765838,,,,,,,,1,0,0,0,1,+-,0.00035500000000010523
2024-08-20 01:30:00,1.36311,1.36361,1.36296,1.36305,1.36313,1.36367,1.36298,1.36307,2561,1.36312,1.36364,1.36297,1.36306,1.363305,-0.08555531392,0.07350845042,1.36375532327,1.36341144021,1.36342258663,1.36931081006,1.3676112286,1.3658936002,1.37239005142,1.37226371492,1.370846263,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.0261616556,,,0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,-0.56563042014,,,,,,0,1,0,0,4,++,0.0006699999999999484
2024-08-20 01:45:00,1.36305,1.36315,1.36286,1.36307,1.36307,1.36319,1.36292,1.36311,2165,1.36306,1.36317,1.36289,1.36309,1.36303,-0.1037484154,-0.0205861048,1.36371318302,1.36343251019,1.3633895693,1.36929021107,1.36756475172,1.36582070019,1.37238865208,1.37225684276,1.37081601117,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.0129330254,1.36317,,1,0,1,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,0,0,1,0,3,--,0.000280000000000058
2024-08-20 02:00:00,1.36307,1.36342,1.36301,1.36335,1.36311,1.36345,1.36307,1.3634,1922,1.36309,1.363435,1.36304,1.363375,1.3632375,-0.1108453162,-0.04805872398,1.36367313048,1.36344938391,1.36331215544,1.36926945027,1.36751471078,1.36574965018,1.37238827104,1.37224891639,1.37078546595,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.02055150884,,,0,0,1,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,0,0,0,1,2,-+,0.0003949999999999232
2024-08-20 02:15:00,1.36335,1.36363,1.36335,1.36354,1.3634,1.36369,1.3634,1.36358,1479,1.363375,1.36366,1.363375,1.36356,1.3635175,-0.08482334658,0.02819698836,1.36366538967,1.36342539842,1.36331072435,1.36925133847,1.36745448876,1.36568193988,1.37238850773,1.37224066997,1.37075537591,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.01926977688,,,0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,0,0,1,0,3,--,0.00028500000000009074
2024-08-20 02:30:00,1.36354,1.36377,1.36345,1.36372,1.36358,1.36381,1.3635,1.36376,1872,1.36356,1.36379,1.363475,1.36374,1.3636325,-0.03150111652,0.16297972768,1.36365882124,1.36337253612,1.36325457948,1.36923126725,1.36739849806,1.36561467695,1.37238860452,1.37223176152,1.37072504344,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.01682692308,,,0,0,1,0.0,0.0,0.0,green,1.0,0.0,1.0,,,,,,,,,1,0,0,0,1,+-,0.00031500000000006523
2024-08-20 02:45:00,1.36372,1.36381,1.36353,1.36376,1.36376,1.36384,1.36358,1.3638,1879,1.36374,1.363825,1.363555,1.36378,1.36369,-0.00022807678,0.2076869924,1.36365179653,1.36336409411,1.36325116359,1.36921085975,1.36733707082,1.3655518188,1.37238846233,1.37222150718,1.3706950605,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.0143693454,,,0,0,1,0.0,0.0,0.0,green,1.0,0.0,1.0,,,,,,,,,1,0,0,0,1,+-,0.00026999999999999247
2024-08-20 03:00:00,1.36376,1.36379,1.36355,1.36366,1.3638,1.36385,1.3636,1.36369,1294,1.36378,1.36382,1.363575,1.363675,1.3636975,0.04439541088,0.25487113239,1.36362146602,1.36332233234,1.36330443087,1.36918759167,1.36726485135,1.36549308884,1.37238863883,1.37221091058,1.37066598022,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.01893353941,,,0,1,0,1.0,1.0,0.0,green,1.0,0.0,1.0,,,,,,,,,0,0,0,1,2,-+,0.00024500000000005073
2024-08-20 03:15:00,1.36366,1.36386,1.36361,1.36381,1.36369,1.36391,1.36365,1.36387,1341,1.363675,1.363885,1.36363,1.36384,1.3637575,0.08047397538,0.24799463232,1.36357385325,1.3633117283,1.3633700447,1.36916163558,1.36719862678,1.36542895387,1.37238903368,1.37220084229,1.37063649425,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.01901565996,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,0,1,0,0,4,++,0.00025500000000011624
