Date,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose,Volume,Open,High,Low,Close,Median,ao,ac,jaw,teeth,lips,bjaw,bteeth,blips,tjaw,tteeth,tlips,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,mfi,fdbb,fdbs,fdb,aoaz,aobz,zlc,zlcb,zlcs,zcol,zone_sig,sz,bz,acs,acb,ss,sb,price_peak_above,price_peak_bellow,ao_peak_above,ao_peak_bellow,mfi_sq,mfi_green,mfi_fade,mfi_fake,mfi_sig,mfi_str,bar_height
2024-06-17 13:00:00,1.37485,1.37644,1.37401,1.37405,1.37488,1.37645,1.37404,1.37407,44189,1.374865,1.376445,1.374025,1.37406,1.375235,-0.04097723779,0.11817380524,1.37388049734,1.37421325025,1.37412690056,1.36618474301,1.36755375781,1.37073670058,1.35536669577,1.36109081674,1.36465826579,1.376445,,1,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0.00547647605,,,0,0,1,0.0,0.0,0.0,green,1.0,0.0,1.0,,,,,,,,,0,1,0,0,4,++,0.0024199999999998667
2024-06-17 17:00:00,1.37405,1.37406,1.37206,1.37236,1.37407,1.37408,1.37208,1.37242,31109,1.37406,1.37407,1.37207,1.37239,1.37307,-0.04039778831,0.11138009708,1.37400007447,1.37413690647,1.37418002045,1.36620151556,1.36772268948,1.37076745939,1.35540657854,1.36108687547,1.36464225352,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00642900768,,,0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,0,0,0,1,2,-+,0.0020000000000000018
2024-06-17 21:00:00,1.37236,1.37236,1.37096,1.37191,1.37242,1.37272,1.371,1.37193,10247,1.37239,1.37254,1.37098,1.37192,1.37176,-0.07945230736,-0.01552278817,1.37397064566,1.37412760566,1.37427101636,1.36621470078,1.36789204968,1.37071503411,1.35543630247,1.36108237171,1.36463395662,,1.3699411750000001,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0.01522396799,1.37254,,1,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,-1.0,,,,,,0,0,0,1,2,-+,0.0015600000000000058
2024-06-18 01:00:00,1.37191,1.37417,1.37184,1.37402,1.37193,1.37418,1.37186,1.37405,24523,1.37192,1.374175,1.37185,1.374035,1.3730125,-0.10053824837,-0.08945178104,1.37393982677,1.37416071745,1.37446381309,1.36623099628,1.36805387604,1.37072069488,1.35546367965,1.36107830574,1.36463200206,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00948089549,,,0,0,1,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,1,0,0,0,1,+-,0.0023249999999999105
2024-06-18 05:00:00,1.37402,1.37565,1.37285,1.37517,1.37405,1.37569,1.37288,1.37522,27796,1.374035,1.37567,1.372865,1.375195,1.3742675,-0.10258513486,-0.08757391738,1.37391387855,1.37422000277,1.37418505047,1.36624994576,1.36820239648,1.37076670385,1.35549087148,1.36108056623,1.36463473122,1.37567,,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.01009138005,,,0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,0,1,0,0,4,++,0.0028049999999999464
2024-06-18 09:00:00,1.37517,1.3756,1.37277,1.37338,1.37522,1.37563,1.37283,1.3734,40991,1.375195,1.375615,1.3728,1.37339,1.3742075,-0.12209264043,-0.09722755217,1.37392531097,1.37434687742,1.37370004038,1.36629598569,1.36834435291,1.3708460655,1.35551491426,1.36108718397,1.36464188586,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00686736113,,,0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,1,0,0,0,1,+-,0.002815000000000012
2024-06-18 13:00:00,1.37338,1.37368,1.3709,1.37196,1.3734,1.37371,1.37093,1.37199,54027,1.37339,1.373695,1.370915,1.371975,1.372305,-0.12574053832,-0.05778135607,1.37396124859,1.37418726775,1.3735625323,1.36633167687,1.36849331922,1.37094522534,1.35553980176,1.36109294713,1.3646524804,,1.3698761750000001,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00514557536,,,0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,1,0,0,0,1,+-,0.0027800000000000047
2024-06-18 17:00:00,1.37196,1.37265,1.37137,1.37178,1.37199,1.37266,1.37139,1.37184,30201,1.371975,1.372655,1.37138,1.37181,1.3720175,-0.10301031533,0.02287609528,1.37401307562,1.37388385928,1.37370352584,1.3663594951,1.36863539523,1.37101610106,1.3555708434,1.3610951877,1.36466819234,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00422171451,,,0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,0,0,1,0,3,--,0.001274999999999915
2024-06-18 21:00:00,1.37178,1.37211,1.37125,1.372,1.37184,1.37213,1.37153,1.37202,6393,1.37181,1.37212,1.37139,1.37201,1.371755,-0.11370943618,-0.00082833915,1.3741070698,1.37377493937,1.37380432067,1.36637062437,1.36879588805,1.3711126128,1.35559970721,1.36109756887,1.36470336115,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.01141873925,,,0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,0,0,0,1,2,-+,0.0007299999999998974
2024-06-19 01:00:00,1.372,1.3723,1.37119,1.37224,1.37202,1.37232,1.37122,1.37228,14712,1.37201,1.37231,1.371205,1.37226,1.3717575,-0.15598479133,-0.09369411614,1.3740272952,1.37383650945,1.37350445654,1.36639547691,1.36895578099,1.37120871242,1.3556280369,1.36110379175,1.3647478517,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00751087548,1.37231,,1,0,1,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,1,0,0,0,1,+-,0.0011049999999999116
2024-06-19 05:00:00,1.37224,1.37258,1.37136,1.37167,1.37228,1.37262,1.37139,1.37168,23746,1.37226,1.3726,1.371375,1.371675,1.3719875,-0.19882642666,-0.17450750316,1.37385288788,1.37388288327,1.37320706523,1.36643139851,1.3690783577,1.37130161794,1.35565605272,1.36111154372,1.36479649509,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00515876358,,,0,0,1,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,1,0,0,0,1,+-,0.0012250000000000316
2024-06-19 09:00:00,1.37167,1.37187,1.37054,1.37055,1.37168,1.37189,1.37057,1.37057,27887,1.371675,1.37188,1.370555,1.37056,1.3712175,-0.20979457763,-0.15733467224,1.37378824266,1.37368564786,1.37291665218,1.36646683224,1.36919870574,1.37138664388,1.35567957114,1.36112198773,1.36484684929,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00475131782,,,0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,1,0,0,0,1,+-,0.0013250000000000206
2024-06-19 13:00:00,1.37055,1.37145,1.3698,1.37131,1.37057,1.37148,1.36983,1.37133,18523,1.37056,1.371465,1.369815,1.37132,1.37064,-0.22714796092,-0.13536654284,1.37382510861,1.37347712938,1.37268482175,1.36647883412,1.36931136564,1.37148615436,1.35570432692,1.36112380324,1.36489904131,,1.368776175,0,1,0,1,,,0,0,0,0,0,0,0,0,0,0,0.0089078443,1.371465,,1,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,,-0.13536654284,,,,,,,0,0,0,1,2,-+,0.0016499999999999293
2024-06-19 17:00:00,1.37131,1.37146,1.37025,1.37025,1.37133,1.37149,1.37053,1.3714,5094,1.37132,1.371475,1.37039,1.370825,1.3709325,-0.23365924231,-0.08399292649,1.37385452333,1.3732618632,1.3725453574,1.36648202138,1.36941106808,1.37162045864,1.35573093348,1.36112495644,1.3649408188,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.02129956812,,,0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,,-0.08399292649,,,,,,,0,0,0,1,2,-+,0.0010850000000000026
