Date,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose,Volume,Open,High,Low,Close,Median,ao,ac,jaw,teeth,lips,bjaw,bteeth,blips,tjaw,tteeth,tlips,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,mfi,fdbb,fdbs,fdb,aoaz,aobz,zlc,zlcb,zlcs,zcol,zone_sig,sz,bz,acs,acb,ss,sb,price_peak_above,price_peak_bellow,ao_peak_above,ao_peak_bellow,mfi_sq,mfi_green,mfi_fade,mfi_fake,mfi_sig,mfi_str,bar_height
2023-09-03 21:00:00,0.87625,0.87978,0.87525,0.87806,0.87758,0.87985,0.87674,0.87834,77048,0.876915,0.879815,0.875995,0.8782,0.877905,0.08013879358,0.50441830763,0.87590540468,0.87317511369,0.87455288037,0.90354761876,0.89770064209,0.89023611307,0.90832347717,0.91038257517,0.90847948771,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00495794829,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,0.50441830763,,,,,,,,1,0,0,0,1,+-,0.0038200000000000456
2023-09-04 21:00:00,0.87806,0.87869,0.86716,0.87011,0.87834,0.87921,0.86725,0.87034,150552,0.8782,0.87895,0.867205,0.870225,0.8730775,0.0409389347,0.17297421151,0.87548364278,0.87388197448,0.8750698043,0.90325202754,0.89757831223,0.88979380093,0.9083038393,0.91039958129,0.90840202599,,0.864729675,0,1,0,1,,,0,0,0,0,0,0,0,0,0,0,0.00780129125,,,0,1,0,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,0,1,0,0,4,++,0.011745000000000005
2023-09-05 21:00:00,0.87011,0.87342,0.86813,0.87,0.87034,0.87349,0.8682,0.87045,140133,0.870225,0.873455,0.868165,0.870225,0.87081,-0.00161531791,-0.07819243416,0.87526451641,0.87430860267,0.87553934344,0.90298194858,0.89747452473,0.88930442443,0.90828641532,0.9104127054,0.90832761956,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00377498519,,,0,0,1,-1.0,0.0,1.0,red,-1.0,1.0,0.0,,,,,,,,,0,0,1,0,3,--,0.005290000000000017
2023-09-06 21:00:00,0.87,0.87366,0.8686,0.87245,0.87045,0.87373,0.86867,0.8727,119343,0.870225,0.873695,0.868635,0.872575,0.871165,-0.03727052834,-0.20442794218,0.87532647669,0.87466221483,0.87601247475,0.90274805028,0.89738362428,0.88878797077,0.90826724711,0.91042304787,0.90825017082,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00423988001,,,0,0,1,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,0,0,0,1,2,-+,0.005059999999999953
2023-09-07 21:00:00,0.87245,0.87576,0.86905,0.86955,0.8727,0.87585,0.86912,0.8703,118056,0.872575,0.875805,0.869085,0.869925,0.872445,-0.08094229649,-0.27147085053,0.87559597848,0.87500662548,0.8754254798,0.90252144297,0.89711510384,0.88833928045,0.90824421728,0.91043535238,0.90816232241,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00569221386,,,0,0,1,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,0,0,0,1,2,-+,0.006719999999999948
2023-09-09 21:00:00,0.86955,0.87033,0.86952,0.8702,0.8703,0.87176,0.8703,0.87176,20,0.869925,0.871045,0.86991,0.87098,0.8704775,-0.14906825988,-0.3459805382,0.87572667245,0.87536892229,0.87450238384,0.90230350541,0.89687851105,0.88782959573,0.90823403368,0.91046207834,0.90803996253,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,5.675,,,0,0,1,0.0,0.0,0.0,red,-1.0,1.0,0.0,,,,,,,,,0,0,0,1,2,-+,0.0011349999999999971
2023-09-10 21:00:00,0.8702,0.87605,0.86946,0.87258,0.87176,0.87614,0.87048,0.87342,128596,0.87098,0.876095,0.86997,0.873,0.8730325,-0.13225196004,-0.17393951971,0.87583519764,0.87508249451,0.87383490707,0.90210885928,0.89661603812,0.88720637233,0.90823552165,0.91050672607,0.90790261904,0.876095,,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00476297863,,,0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,,,,,,,1,0,0,0,1,+-,0.006124999999999936
2023-09-11 21:00:00,0.87258,0.87412,0.86936,0.87086,0.87342,0.87428,0.86943,0.87109,114378,0.873,0.8742,0.869395,0.870975,0.8717975,-0.11300945086,-0.03511053798,0.87595691321,0.87454843269,0.87355692566,0.90191993951,0.89623211015,0.88662897902,0.90825252292,0.91054182596,0.90776801752,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00420098271,,,0,0,1,0.0,0.0,0.0,green,1.0,0.0,1.0,,,,,,,,,0,0,1,0,3,--,0.004804999999999948
2023-09-12 21:00:00,0.87086,0.87161,0.86662,0.8699,0.87109,0.8718,0.86673,0.8702,149400,0.870975,0.871705,0.866675,0.87005,0.86919,-0.12986454049,-0.02954781827,0.87610676604,0.87412550361,0.87294104053,0.9017443784,0.89581870815,0.88608731788,0.90826844461,0.91056027306,0.90763058337,,0.864199675,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00336680054,0.871705,,1,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,,,-0.82548840508,,,,,,1,0,0,0,1,+-,0.005029999999999979
2023-09-13 21:00:00,0.8699,0.87333,0.86849,0.86966,0.8702,0.87374,0.86856,0.86999,144287,0.87005,0.873535,0.868525,0.869825,0.87103,-0.13478622667,-0.00999770253,0.87587374557,0.87391544066,0.87295933242,0.90158314942,0.89549450437,0.88553952912,0.90828299781,0.91059355515,0.90749965918,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0.00347224629,,,0,0,1,0.0,0.0,0.0,gray,0.0,0.0,0.0,,-0.00999770253,,,,,,,0,0,0,1,2,-+,0.005009999999999959
